"","gene.symbol","organ.specificity.list"
"1","HMX1","Eye;Ear"
"2","SLX4","Bone Marrow/Immune;Skeleton;Brain/Cognition"
"3","ARG1","Endocrine/Metabolic;Brain/Cognition"
"4","ATR","Face;Skeleton;Brain/Cognition"
"5","FANCB","Bone Marrow/Immune;Skeleton;Cancer predisposition"
"6","ALG9","Endocrine/Metabolic;Brain/Cognition"
"7","NTRK1","Bone Marrow/Immune;Skeleton;Spinal cord/Peripheral nerves;Eye;Skin;Endocrine/Metabolic;Hair/Nails;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"8","YAP1","Kidney Renal Tract;Face;Eye: Structure;Eye: Lens;Brain/Cognition;Eye;Ear"
"9","BBS9","Endocrine;Kidney Renal Tract;Eye: Retina;Skeleton;Brain/Cognition;Eye;Respiratory tract"
"10","TRIM32","Musculature;Kidney Renal Tract;Brain/Cognition;Eye,Musculature;Kidney Renal Tract;Brain/Cognition;Eye"
"11","PAX2","Kidney Renal Tract;Eye"
"12","FGFR3","Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic"
"13","ADAR","Brain/Cognition,Liver;Brain/Cognition,Liver;Brain/Cognition"
"14","FEZF1","Genitalia"
"15","FLNB","Skeleton,Skeleton,Skeleton,Skeleton"
"16","NAA10","Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Unknown"
"17","MOGS","Endocrine/Metabolic;Brain/Cognition"
"18","AGPS","Skeleton;Brain/Cognition;Eye"
"19","OFD1","Kidney Renal Tract;Face;Skeleton;Brain/Cognition,Kidney Renal Tract;Eye: Retina;Face;Skeleton;Brain/Cognition"
"20","PAFAH1B1","Brain/Cognition"
"21","COL1A1","Skeleton,Skeleton"
"22","CAMTA1","Brain/Cognition"
"23","CHST3","Skeleton"
"24","HRAS","Skin;Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Skin;Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"25","RPGRIP1","Eye: Retina;Eye,Eye"
"26","RIPK4","Skeleton"
"27","BRIP1","Bone Marrow/Immune;Skeleton"
"28","TBX3","Musculature;Skeleton"
"29","LAMA1","Brain/Cognition"
"30","ERLIN2","Brain/Cognition"
"31","PCCA","Endocrine/Metabolic;Brain/Cognition"
"32","COG7","Endocrine/Metabolic;Brain/Cognition"
"33","SCN2A","Brain/Cognition,Brain/Cognition"
"34","MECP2","Brain/Cognition;GI tract,Brain/Cognition;GI tract,Brain/Cognition;GI tract,Brain/Cognition;GI tract"
"35","FTL","Eye: Cornea;Endocrine/Metabolic;Eye"
"36","CBL","Skin;Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
